@relation delaney-weka.filters.unsupervised.attribute.Standardize

@attribute MolLogP numeric
@attribute MolWt numeric
@attribute NumRotatableBonds numeric
@attribute AromaticProportion numeric
@attribute logS numeric

@data
0.510753,-0.471676,-0.446811,1.364388,-4.17
-0.26797,-0.861696,1.075607,-1.062996,-1.81
0.162683,-1.037246,0.695003,-1.062996,-3.73
-0.133565,-1.056891,0.314398,-1.062996,-3.01
1.613538,0.368497,4.501049,-1.062996,-7
-0.477027,-0.998384,0.695003,-1.062996,-1.24
-0.046374,-1.173934,0.314398,-1.062996,-3.23
-0.597927,-1.018029,0.314398,-1.062996,-0.59
-0.342622,-1.193579,-0.066207,-1.062996,-2.36
-0.12199,-0.200853,-0.066207,-1.062996,-2.96
0.50518,0.209211,1.075607,-1.062996,-4.81
0.533368,0.481759,-0.827416,1.585059,-4.55
-0.331046,-0.337541,-0.446811,-1.062996,-2.29
0.03085,-1.056891,-0.827416,-1.062996,-3.27
0.598652,-0.237591,-0.827416,1.433742,-5.22
0.374644,-0.608365,-0.827416,1.585059,-3.7
0.99265,-0.120548,-0.827416,1.655674,-5.85
-1.808965,-0.765117,-0.827416,0.878911,-0.807
0.05159,-0.589148,-0.827416,1.585059,-2.22
-0.014541,-0.598737,-0.827416,1.585059,-1.92
0.160164,-0.306573,-0.446811,1.177666,-3.54
-0.951785,-1.125873,-0.066207,-1.062996,-0.8
0.150143,-0.58832,1.836817,-1.062996,-3.01
0.580796,-0.76387,1.456212,-1.062996,-5.05
0.284548,-0.783515,1.075607,-1.062996,-4.24
2.031651,0.641873,5.262258,-1.062996,-8.4
-0.058914,-0.725008,1.456212,-1.062996,-2.39
0.371739,-0.900558,1.075607,-1.062996,-4.44
0.075491,-0.920203,0.695003,-1.062996,-3.66
1.404482,0.231809,4.120444,-1.062996,-6.35
-0.686083,-1.135072,0.314398,-1.062996,-0.6
-0.25543,-1.310622,-0.066207,-1.062996,-2.68
-0.551678,-1.330267,-0.446811,-1.062996,-1.64
-0.380082,-0.803589,-0.446811,0.878911,-0.92
-1.104196,-1.408448,-0.446811,-1.062996,0.62
1.195425,0.095121,3.73984,-1.062996,-5.84
3.986311,2.86522,-0.446811,0.525837,-11.6
3.28599,2.193912,-0.446811,0.684721,-9.16
2.58567,1.522603,-0.446811,0.878911,-8.01
3.28599,2.193912,-0.446811,0.684721,-9.15
2.58567,1.522603,-0.446811,0.878911,-8.6
1.885349,0.851295,-0.446811,1.12165,-7.28
2.93583,1.858258,-0.446811,0.776706,-7.92
2.93583,1.858258,-0.446811,0.776706,-8.94
2.58567,1.522603,-0.446811,0.878911,-7.68
2.235509,1.186949,-0.446811,0.993141,-7.21
2.235509,1.186949,-0.446811,0.993141,-7.43
2.58567,1.522603,-0.446811,0.878911,-7.42
1.885349,0.851295,-0.446811,1.12165,-6.47
0.128278,-1.017601,-0.827416,-1.062996,-4.36
2.58567,1.522603,-0.446811,0.878911,-8.56
2.58567,1.522603,-0.446811,0.878911,-8.71
1.885349,0.851295,-0.446811,1.12165,-6.57
2.235509,1.186949,-0.446811,0.993141,-7.32
0.337334,-0.880912,-0.446811,-1.062996,-4.74
0.546391,-0.744224,-0.066207,-1.062996,-5.05
1.885349,0.851295,-0.446811,1.12165,-7.39
-0.554251,-0.998384,-0.066207,-1.062996,-1.04
-0.003555,-1.154289,-0.827416,-1.062996,-3.55
0.205502,-1.017601,-0.446811,-1.062996,-4.36
-0.345194,-0.861696,0.314398,-1.062996,-1.52
-0.763307,-1.135072,-0.827416,-1.062996,-0.4
1.185029,0.179987,-0.446811,1.433742,-5.27
2.58567,1.522603,-0.446811,0.878911,-7.82
2.93583,1.858258,-0.446811,0.776706,-7.66
2.58567,1.522603,-0.446811,0.878911,-7.39
2.235509,1.186949,-0.446811,0.993141,-7.8
2.235509,1.186949,-0.446811,0.993141,-7.92
1.885349,0.851295,-0.446811,1.12165,-7.25
0.834225,0.265652,-0.827416,0.525837,-3.15
0.834225,0.265652,-0.827416,0.525837,-3.1
1.535189,0.515641,-0.446811,1.267293,-6.29
1.535189,0.515641,-0.446811,1.267293,-6.26
0.484065,-0.070002,-0.827416,0.684721,-2.67
0.26011,-0.880912,-0.066207,-1.062996,-4.8
0.834225,0.265652,-0.827416,0.525837,-3.37
1.535189,0.515641,-0.446811,1.267293,-6.01
0.484065,-0.070002,-0.827416,0.684721,-2.67
0.484065,-0.070002,-0.827416,0.684721,-2.64
0.242479,-0.123081,-0.446811,0.525837,-3.48
0.133905,-0.405657,-0.827416,0.878911,-1.3
-0.166416,-1.193579,-0.446811,-1.062996,-2.4
-0.080779,-1.154289,-0.446811,-1.062996,-3.65
0.539928,-0.471676,-0.827416,1.364388,-4.72
0.128278,-1.017601,-0.066207,-1.062996,-4.28
-0.4023,-0.949866,-0.827416,1.12165,0.38
1.535189,0.515641,-0.446811,1.267293,-6.27
1.535189,0.515641,-0.446811,1.267293,-6.25
0.484065,-0.070002,-0.827416,0.684721,-2.21
1.535189,0.515641,-0.446811,1.267293,-6.14
0.484065,-0.070002,-0.827416,0.684721,-2.34
-0.070564,-0.666901,-0.827416,0.684721,-2.05
-0.39095,0.219258,0.314398,0.029327,-3.22
0.133905,-0.405657,-0.827416,0.878911,-1.55
-0.346052,-0.861696,-0.066207,-1.062996,-0.92
-0.423275,-0.861696,-0.066207,-1.062996,-1.22
-0.3117,-0.881341,-0.066207,-1.062996,-1.3
0.128278,-1.017601,-0.066207,-1.062996,-4.26
-0.235848,-0.803589,-0.827416,0.878911,-1.19
-0.4023,-0.949866,-0.827416,1.12165,0.38
-0.341754,-0.219222,-0.066207,0.281401,-2.82
1.185029,0.179987,-0.446811,1.433742,-5.28
1.185029,0.179987,-0.446811,1.433742,-5.25
0.133905,-0.405657,-0.827416,0.878911,-1.79
0.539928,-0.471676,-0.827416,1.364388,-4.89
-0.235848,-0.803589,-0.827416,0.878911,-1.29
-0.4023,-0.949866,-0.827416,1.12165,0.45
-0.341754,-0.219222,-0.066207,0.281401,-3
1.185029,0.179987,-0.446811,1.433742,-5.21
0.215705,-0.462049,-0.827416,1.364388,-1.94
0.603465,-0.11092,-0.827416,1.655674,-5.17
0.617988,0.023761,-0.827416,1.585059,-4.4
0.617988,0.023761,-0.827416,1.585059,-4.4
-0.353393,-0.79554,-0.827416,-1.062996,-1.59
0.165266,-0.327368,-0.827416,1.12165,-2.23
-0.784422,-1.291405,-0.446811,-1.062996,0.52
-0.904464,-1.311051,-0.446811,-1.062996,0.32
-0.886244,-0.84248,1.075607,-1.062996,-0.42
-0.018935,-0.955323,-0.446811,-1.062996,-2.51
-0.053876,-0.604623,-0.446811,0.878911,-2.46
0.834868,-0.155667,-0.446811,1.625798,-4.54
-0.227992,-1.092011,-0.446811,-1.062996,-1.96
0.55952,-0.409398,-0.827416,1.585059,-4.14
-0.216255,-0.741311,-0.827416,1.12165,-1.06
-0.437048,-1.228699,-0.827416,-1.062996,-1.41
0.106799,-0.760527,-0.827416,1.12165,-3.52
-1.987271,-1.174713,-0.827416,-1.062996,-0.31
0.469917,-0.471277,1.836817,-1.062996,-3.3
-0.431475,-0.949866,-0.446811,1.12165,0.51
-0.554251,-0.998384,0.314398,-1.062996,-1.17
-0.136138,-0.725008,1.075607,-1.062996,-2.11
-0.068238,-0.764298,0.695003,-1.062996,-2.46
-0.443533,-1.018029,0.314398,-1.062996,-1.52
-0.02542,-0.744653,1.075607,-1.062996,-2.13
0.510753,-0.471676,-0.446811,1.364388,-4.29
0.058031,-0.822805,-0.446811,0.878911,-3.21
-0.268828,-0.861696,0.695003,-1.062996,-1.55
-0.157252,-0.881341,0.695003,-1.062996,-1.45
-0.477884,-0.998384,0.314398,-1.062996,-0.89
-0.366309,-1.018029,0.314398,-1.062996,-0.8
-1.2453,-0.550637,-0.827416,1.585059,-1.947
-0.890638,-1.067337,-0.827416,1.433742,1.02
-0.331904,-0.337541,-0.827416,-1.062996,-2.09
0.358674,-0.686117,-0.446811,0.684721,-3.76
-1.082921,-0.413949,-0.446811,1.364388,-1.11
-0.25543,-1.310622,-0.827416,-1.062996,-2.56
-0.375473,-1.330267,-0.446811,-1.062996,-2.03
-0.25543,-1.310622,-0.446811,-1.062996,-2.73
-0.046374,-1.173934,-0.066207,-1.062996,-3.03
-0.059771,-0.725008,0.695003,-1.062996,-1.72
-0.268828,-0.861696,0.314398,-1.062996,-1.08
-0.477884,-0.998384,-0.066207,-1.062996,-0.49
-0.555108,-0.998384,-0.066207,-1.062996,-0.7
0.99265,-0.120548,-0.827416,1.655674,-6.96
-0.686941,-1.135072,-0.446811,-1.062996,0.15
-0.212611,-1.290977,-0.446811,-1.062996,-3.18
-0.763307,-1.135072,-0.066207,-1.062996,-0.47
0.414558,-0.880912,0.695003,-1.062996,-5.08
0.374644,-0.608365,-0.827416,1.585059,-3.77
-0.003555,-1.154289,-0.066207,-1.062996,-3.74
-0.554251,-0.998384,0.314398,-1.062996,-1.11
0.99265,-0.120548,-0.827416,1.655674,-5.84
-0.401132,-0.940277,-0.827416,1.12165,-0.62
-0.972364,-1.27176,-0.446811,-1.062996,0.1
-0.421668,-1.427665,-0.827416,-1.062996,-2.55
-0.464487,-1.44731,-0.827416,-1.062996,-2.33
-0.922246,-0.569854,-0.827416,1.585059,-0.12
-0.677294,-1.154717,-0.827416,-1.062996,0.11
0.05159,-0.589148,-0.827416,1.585059,-2.28
-0.952642,-1.125873,-0.446811,-1.062996,-0.62
0.149285,-0.58832,1.456212,-1.062996,-2.74
0.260861,-0.607965,1.456212,-1.062996,-2.58
-0.059771,-0.725008,1.075607,-1.062996,-2.09
0.051804,-0.744653,1.075607,-1.062996,-2.05
-0.686941,-1.135072,-0.066207,-1.062996,-0.29
-0.575365,-1.154717,-0.066207,-1.062996,-0.19
-0.745676,-0.647684,0.314398,0.684721,-0.7
-1.105054,-1.408448,-0.827416,-1.062996,0.43
-1.368022,-1.164735,-0.827416,-1.062996,1.07
0.567398,-0.314944,2.217421,-1.062996,-2.94
-0.554251,-0.998384,-0.446811,-1.062996,-0.5
-0.555108,-0.998384,-0.827416,-1.062996,-0.62
-0.443533,-1.018029,-0.827416,-1.062996,-0.72
0.205502,-1.017601,-0.066207,-1.062996,-4.23
0.242479,-0.123081,-0.446811,0.525837,-3.2
0.133905,-0.405657,-0.827416,0.878911,-1.25
-0.235848,-0.803589,-0.827416,0.878911,-1.38
-0.4023,-0.949866,-0.827416,1.12165,0.36
1.185029,0.179987,-0.446811,1.433742,-6.39
0.133905,-0.405657,-0.827416,0.878911,-1.34
-0.235848,-0.803589,-0.827416,0.878911,-1.4
-0.4023,-0.949866,-0.827416,1.12165,0.38
0.178814,1.439852,1.456212,0.281401,-5.071
-0.053876,-0.604623,-0.446811,0.878911,-2.78
0.834868,-0.155667,-0.446811,1.625798,-4.88
-0.216255,-0.741311,-0.827416,1.12165,-0.7
-0.702171,-1.121673,-0.446811,-1.062996,-0.29
-0.239299,1.166476,0.695003,0.393435,-4.47
-0.268828,-0.861696,0.314398,-1.062996,-0.85
-0.268828,-0.861696,0.695003,-1.062996,-1.47
0.805983,1.849916,2.598026,0.142326,-6.301
-0.477884,-0.998384,0.314398,-1.062996,-0.8
-0.366309,-1.018029,0.314398,-1.062996,-0.83
0.596927,1.713228,2.217421,0.185373,-5.886
-0.342622,-1.193579,-0.827416,-1.062996,-1.99
-0.332654,-1.310622,-0.446811,-1.062996,-2.73
-0.764165,-1.135072,-0.446811,-1.062996,-0.18
-0.652589,-1.154717,-0.446811,-1.062996,-0.12
-0.554251,-0.998384,0.314398,-1.062996,-0.72
-0.554251,-0.998384,0.314398,-1.062996,-0.71
-0.443533,-1.018029,-0.066207,-1.062996,-0.67
-0.059771,-0.725008,0.695003,-1.062996,-1.6
-0.268828,-0.861696,0.314398,-1.062996,-0.98
-0.477884,-0.998384,-0.066207,-1.062996,-0.36
-0.763307,-1.135072,-0.066207,-1.062996,-0.51
1.663495,0.621,-0.827416,1.433742,-7.92
0.414558,-0.880912,0.695003,-1.062996,-5.16
0.01457,-0.71578,-0.827416,1.558579,-2.42
-0.003555,-1.154289,-0.066207,-1.062996,-3.68
-0.401132,-0.940277,-0.827416,1.12165,-0.68
-0.059771,-0.725008,1.075607,-1.062996,-1.98
1.01504,1.986604,2.97863,0.102148,-6.523
-0.686941,-1.135072,-0.066207,-1.062996,-0.24
-0.575365,-1.154717,-0.066207,-1.062996,-0.28
0.38787,1.57654,1.836817,0.231609,-4.678
-0.030243,1.303164,1.075607,0.335177,-4.907
1.185029,0.179987,-0.446811,1.433742,-6.56
-0.157788,-0.308152,-0.827416,1.12165,-1.09
0.165266,-0.327368,-0.827416,1.12165,-3.19
-0.053876,-0.604623,-0.446811,0.878911,-2.78
-0.216255,-0.741311,-0.827416,1.12165,-0.7
0.106799,-0.760527,-0.827416,1.12165,-3.08
0.058031,-0.822805,-0.446811,0.878911,-3.11
-0.268828,-0.861696,0.695003,-1.062996,-1.4
-0.157252,-0.881341,0.695003,-1.062996,-1.3
0.413433,-0.100932,1.075607,0.185373,-2.59
-0.890638,-1.067337,-0.827416,1.433742,1.02
0.358674,-0.686117,-0.446811,0.684721,-3.77
-1.082921,-0.413949,-0.446811,1.364388,-1.11
-0.555108,-0.998384,-0.066207,-1.062996,-0.8
-0.443533,-1.018029,-0.066207,-1.062996,-0.74
0.649992,-0.354634,-0.446811,1.625798,-4.62
-0.554251,-0.998384,0.314398,-1.062996,-1.14
-0.922246,-0.569854,-0.827416,1.585059,-0.466
-0.480135,-0.238438,-0.066207,0.281401,-2.692
-0.806126,-1.154717,0.314398,-1.062996,-0.15
-0.720274,0.191271,0.314398,-1.062996,-2.253
-0.588441,0.327959,0.314398,-1.062996,-2.593
-1.049373,0.034938,0.695003,-1.062996,-2.077
-0.963736,0.074228,-0.066207,-1.062996,-2.766
-1.645514,-0.472524,-0.827416,-1.062996,-1.742
-0.095462,-0.549858,-0.827416,0.525837,-1.99
1.775939,0.503957,-0.827416,1.558579,-7.01
-1.138387,-0.082105,0.314398,-1.062996,-1.614
-1.006554,0.054583,0.314398,-1.062996,-1.708
-1.347443,-0.218793,-0.066207,-1.062996,-1.16
-0.848141,0.386066,0.314398,-0.092042,-2.369
-0.677455,0.210916,0.695003,-1.062996,-2.658
-1.095568,-0.06246,-0.066207,-1.062996,-2.148
-0.937155,0.269023,-0.066207,-0.034927,-2.322
-1.739994,-0.726499,-0.827416,0.878911,-1.077
-0.272633,-0.57952,-0.827416,1.585059,-2.54
-1.436457,-0.335836,-0.446811,-1.062996,-1.228
1.610655,0.367269,-0.827416,1.696556,-6.59
-1.494431,-0.774706,-0.827416,0.878911,-1.458
0.260861,-0.607965,1.456212,-1.062996,-2.58
1.22147,0.376897,-0.827416,1.696556,-6.2
-0.272633,-0.57952,-0.827416,1.585059,-2.16
-1.082921,-0.413949,-0.446811,1.364388,-1.139
1.610655,0.367269,-0.827416,1.696556,-6.57
1.775939,0.503957,-0.827416,1.558579,-7.02
-1.082921,-0.413949,-0.446811,1.364388,-0.91
-0.922246,-0.569854,-0.827416,1.585059,-0.854
-0.272633,-0.57952,-0.827416,1.585059,-2.42
1.157933,0.01614,-0.827416,1.485757,-6.57
0.669595,-0.101331,-0.827416,1.655674,-4.73
0.99265,-0.120548,-0.827416,1.655674,-5.89
1.704642,2.551608,2.97863,0.231609,-6.237
0.2622,-0.491322,-0.827416,1.364388,-4.63
0.468631,-0.510967,-0.827416,1.364388,-3.96
-0.64798,-0.209146,0.314398,-1.062996,0.54
-1.584956,-1.418466,-0.827416,-1.062996,1.58
-0.430939,-0.676918,-0.446811,0.684721,-1.33
-1.771291,0.171694,-0.066207,0.057335,-2.36
-1.028537,-1.594016,-0.827416,-1.062996,0.26
-0.300071,-0.823234,-0.446811,0.878911,-1.28
-0.267842,0.864509,0.314398,0.539078,-3.59
0.503143,-0.247608,-0.827416,1.849865,-3.67
-1.113521,-1.447739,-0.446811,-1.062996,0.57
-0.939523,-1.476973,-0.827416,-1.062996,0.15
-1.347283,-0.677269,-0.827416,1.558579,-2.12
0.437977,0.933209,-0.827416,-1.062996,-3.48
0.288299,0.634769,1.456212,-0.092042,-3.26
-0.323383,1.518394,0.314398,-1.062996,-3.85
1.511823,1.561894,-0.827416,-1.062996,-6.307
-2.480668,-0.453269,-0.446811,-1.062996,-1.6
-0.371829,-0.412712,1.075607,-1.062996,-0.83
-1.502106,-0.66768,-0.827416,1.558579,-2.266
-2.426381,-0.609641,-0.827416,-1.062996,-1.25
-3.895242,0.794425,-0.446811,-1.062996,-1.99
-1.275203,0.05509,0.314398,0.102148,-3.364
-0.323436,0.221255,1.075607,0.102148,-3.04
-2.978105,2.463449,1.836817,-0.516834,-0.77
-0.35901,0.035366,-0.066207,0.102148,-2.36
-0.481625,0.259864,-0.066207,0.821796,-0.364
-0.923811,-1.018175,-0.827416,1.364388,-0.36
1.298362,0.865152,0.695003,0.525837,-5.47
-1.641066,-1.174713,-0.827416,1.364388,0.522
-0.677455,0.210916,0.695003,-1.062996,-2.468
-0.740896,-0.013513,-0.446811,1.073102,-0.624
-0.170436,0.503538,0.695003,0.776706,-2.596
0.877955,0.796949,-0.827416,-1.062996,-3.69
0.809199,0.83624,-0.827416,-1.062996,-4.402
0.149607,-0.549858,-0.066207,0.525837,-3.13
-0.632546,-1.086554,-0.827416,1.433742,-0.41
1.008984,1.590602,1.836817,-0.23075,-4.432
-0.404036,-0.940277,-0.446811,1.12165,-1.85
0.827366,-0.257236,-0.827416,1.849865,-6.35
0.006895,0.034928,-0.827416,1.12165,-5.19
-0.516994,-0.159828,-0.446811,1.22568,0.715
-0.206277,0.932858,-0.066207,-0.268579,-3.538
1.637707,1.580701,-0.066207,0.281401,-5.931
-0.705697,0.064678,1.075607,0.102148,-2.084
-0.360146,0.10774,0.695003,0.185373,-3.85
-0.192193,0.537225,1.075607,0.029327,-1.716
0.885779,-0.218335,-0.066207,1.433742,-4.45
-0.747819,0.180601,1.075607,-1.062996,0.651
0.365255,0.521069,-0.066207,0.029327,-4.37
-1.227401,-0.199148,-0.066207,-1.062996,-2.4
-0.441443,2.112544,0.314398,0.231609,-3.59
0.910538,1.273141,1.836817,-0.303119,-5.53
0.861932,2.006464,2.217421,-0.438811,-4.71
0.586477,1.154753,-0.066207,1.12165,-4.21
0.066059,0.835031,0.695003,0.185373,-4.883
0.709252,1.879667,2.97863,-0.303119,-4.2
-0.509127,-0.959922,-0.446811,1.12165,-1.19
-0.891549,-0.813606,-0.446811,0.878911,-0.96
-0.408645,-1.232869,-0.827416,1.849865,-1.64
0.171043,-0.198729,-0.066207,1.433742,-2.55
-0.718881,0.54201,1.075607,0.623397,-2.81
1.051374,0.113538,-0.827416,1.67852,-6.68
1.762091,0.464667,-0.827416,1.849865,-8.699
1.710215,0.464667,-0.827416,1.849865,-8.23
1.051374,0.113538,-0.827416,1.67852,-8.04
1.762091,0.464667,-0.827416,1.849865,-7.8
1.710215,0.464667,-0.827416,1.849865,-8
1.710215,0.464667,-0.827416,1.849865,-8.49
2.078811,0.698752,-0.827416,1.849865,-9.018
-0.537852,-0.384326,-0.066207,0.393435,-2.616
0.082404,0.074218,0.314398,1.12165,-2.85
-0.477413,-0.989156,-0.827416,1.12165,-1
0.251054,-0.218374,-0.066207,1.433742,-3.12
-0.081904,-0.676674,-0.827416,1.849865,-1.5
-0.799159,-0.833212,-0.827416,1.849865,-0.78
-0.332975,-0.833251,-0.827416,1.849865,-1.16
-0.012719,-0.760527,-0.446811,1.12165,-2.39
0.137335,-0.570263,-0.827416,0.684721,-2.51
-0.854357,-0.530602,-0.066207,0.525837,-0.95
0.636476,2.650088,1.456212,-1.062996,-4.71
0.548052,-0.217945,0.314398,1.433742,-4.62
0.484708,-0.491322,-0.446811,1.849865,-4.345
1.072274,0.503567,-0.446811,1.849865,-5.4
-0.136995,-0.490922,-0.827416,-1.062996,-2.32
-0.466566,0.550449,-0.066207,0.185373,-2.523
2.537277,3.145398,1.456212,1.267293,-4.445
-0.000018,-0.464056,-0.827416,1.433742,-2.55
-0.467059,-0.733262,-0.827416,-1.062996,-0.89
-0.164326,-0.397607,-0.827416,-1.062996,-1.54
-0.561592,-0.932228,-0.827416,-1.062996,-1.09
-0.770649,-1.068916,-0.827416,-1.062996,-0.79
1.180527,1.572477,0.695003,0.029327,-6.09
1.044997,2.177814,0.695003,0.525837,-4.93
0.182072,0.704375,-0.827416,0.525837,-3.33
-0.467273,0.598967,-0.446811,1.267293,-3.127
-0.377552,1.089405,2.217421,-0.23075,-4.16
-0.886512,0.074228,0.314398,-1.062996,-2.39
0.83101,0.572491,-0.446811,-0.143145,-4.24
0.915469,1.044833,2.598026,-0.23075,-4.19
-0.410253,0.960084,0.695003,-1.062996,-2.647
-0.119739,-0.110949,0.695003,0.185373,-3.082
-0.895997,-1.27176,-0.446811,-1.062996,0.47
-0.344444,-1.427665,-0.446811,-1.062996,-2.57
-0.392729,-1.115183,-0.066207,-1.062996,-2.18
-0.809288,0.074228,0.695003,-1.062996,-1.661
-0.762771,0.503791,-0.446811,-0.206272,-1.877
0.201643,0.312514,-0.066207,0.029327,-3.9
-0.798302,-0.998813,0.695003,-1.062996,-1.37
0.548963,0.124208,1.075607,-1.062996,-3.68
0.310861,-0.686117,0.314398,0.684721,-4.06
-0.784422,-1.291405,-0.066207,-1.062996,-0.01
-1.864109,-0.101711,-0.827416,0.809557,-0.876
-0.02542,-0.510567,-0.827416,-1.062996,-1.96
-0.366309,-1.018029,0.695003,-1.062996,-1.3
0.574365,1.407461,0.314398,-1.062996,-5.4
0.472382,0.074257,-0.066207,1.12165,-3.15
0.058342,-0.033197,-0.446811,0.878911,-3.224
0.467291,-0.364651,-0.827416,1.849865,-5.27
-0.369471,0.308314,0.695003,-0.034927,-1.83
-0.177295,0.161998,-0.446811,0.029327,-2.8
1.592263,1.347132,2.217421,-0.092042,-5.736
0.091568,0.29893,-0.066207,0.029327,-3.14
-0.70425,0.316363,0.314398,-1.062996,-2.68
0.200904,-0.530213,-0.446811,0.525837,-2.08
0.020775,-0.530213,-0.446811,-1.062996,-2.06
-1.560573,1.022187,-0.066207,-1.062996,-1.84
-0.825365,1.154743,1.456212,-0.189138,-2.111
-0.124187,0.517804,1.456212,-0.034927,-4.411
0.363594,0.866458,-0.066207,0.102148,-3.924
0.247088,0.185414,-0.066207,0.102148,-2.617
1.732938,1.999116,-0.827416,-1.062996,-6.86
1.379991,1.308163,-0.827416,-1.062996,-5.64
0.225448,-0.077476,-0.066207,0.281401,-2.86
-0.684636,2.048278,2.217421,0.231609,-4.576
-1.467647,-1.082812,-0.446811,-1.062996,-0.02
-0.911228,-1.258361,-0.827416,-1.062996,-0.092
-0.058485,-0.897215,-0.827416,1.433742,-2.38
-0.080671,0.035552,-0.827416,-1.062996,-1.9
-0.645247,-1.365387,-0.827416,-1.062996,-1.06
-0.579009,-1.385032,-0.827416,-1.062996,-1.75
0.454322,0.088017,-0.066207,0.185373,-3.38
-0.459985,-0.392287,-0.827416,-1.062996,-2
0.928062,1.311496,0.695003,0.525837,-4.53
0.854461,0.597174,-0.827416,0.185373,-5.64
-1.345139,0.887711,-0.446811,-0.034927,-3.05
0.156906,0.078428,-0.446811,0.185373,-3.46
